A,75.35,75.69,74.65,75.1
AA,19.41,19.77,19.19,19.25
AAAU,14.91,14.91,14.91,14.91
AAC,0.67,0.69,0.66,0.66
AAL,0,26.05,25.57,25.82
AAN,61.13,62.43,61,61.88
AAOI,0,10.47,10.39,10.47
AAON,0,44.98,44.98,44.98
AAP,159.09,159.34,157.11,158.27
AAPL,0,229.93,225.92,226.99
AAT,46.28,46.75,46.21,46.63
AAWW,0,22.56,21.85,21.94
AAXJ,0,66.33,65.96,66.03
AAXN,0,55.12,53.86,54.65
AB,28.5,28.98,28.42,28.89
ABB,18.09,18.29,18.08,18.11
ABBV,74.7,75.26,74.09,74.33
ABC,81.39,82.67,80.79,81.86
ABCB,0,39.85,39.53,39.77
ABEO,0,2.47,2.31,2.37
ABEV,4.72,4.74,4.58,4.58
ABG,97,97.73,96.06,96.48
ABIL,0,0,0,0
ABM,34.63,34.81,34.42,34.51
ABMD,0,169.33,164.65,164.65
ABR,13.03,13.15,13.02,13.1
ABR PRA,26.14,26.35,26.14,26.35
ABT,81.4,81.98,80.97,81.04
ABTX,0,31.55,31.55,31.55
ABUS,0,1.09,0.9,0.9
AC,39.19,39.96,39.19,39.6
ACA,33.77,33.77,33.23,33.35
ACAD,0,38.84,37.67,38.74
ACAMW,0,0.75,0.75,0.75
ACB,4.36,4.36,4.11,4.11
ACBI,0,0,0,0
ACC,48.62,49.25,48.62,48.77
ACCO,9.59,9.66,9.46,9.58
ACER,0,2.81,2.81,2.81
ACES,30.76,30.76,30.76,30.76
ACGL,0,41.96,41.64,41.72
ACGLO,0,0,0,0
ACGLP,0,0,0,0
ACH,7.69,7.78,7.65,7.65
ACHC,0,29.97,29.71,29.71
ACHN,0,3.99,3.8,3.82
ACHV,0,1.63,1.63,1.63
ACIA,0,65.75,65.2,65.52
ACIO,24.37,24.37,24.37,24.37
ACIU,0,0,0,0
ACIW,0,30.74,30.45,30.56
ACLS,0,17.42,17.3,17.34
ACM,36.87,37.15,36.65,36.79
ACMR,0,13.89,13.42,13.57
ACN,188.29,188.63,186.79,186.81
ACOR,0,3.08,2.96,3
ACP,12.04,12.06,11.96,11.96
ACRE,15.2,15.22,15.14,15.17
ACRS,0,1.23,1.13,1.16
ACRX,0,2.2,2.15,2.15
ACST,0,1.99,1.9,1.97
ACT,0,24.06,24.06,24.06
ACTG,0,2.55,2.52,2.54
ACV,22.49,22.7,22.44,22.7
ACWF,28.53,28.53,28.53,28.53
ACWI,0,73.2,72.73,72.76
ACWV,94.66,94.66,94.52,94.52
ACWX,0,45.6,45.37,45.37
ADAP,0,1.15,1.08,1.09
ADBE,0,278.41,276.22,276.94
ADC,74.37,74.85,74.02,74.6
ADES,0,13.1,13.1,13.1
ADI,0,112.87,110.87,111
ADM,40.17,40.17,39.78,39.78
ADMA,0,4.16,4,4.09
ADMP,0,0.69,0.63,0.67
ADMS,0,4.4,4.04,4.2
ADNT,19.52,20.35,19.4,19.92
ADP,0,159.56,158.28,158.97
ADPT,0,32.74,31.17,32.74
ADRD,0,20.59,20.59,20.59
ADRO,0,1.06,1.02,1.04
ADS,123.14,124.57,122.81,122.88
ADSK,0,148.42,146.37,147.78
ADSW,32.64,32.7,32.61,32.61
ADT,6.21,6.34,6.16,6.33
ADTN,0,11.58,11.28,11.32
ADUS,0,81.75,80.81,81.75
ADVM,0,5.75,5.54,5.65
ADX,15.7,15.79,15.7,15.73
ADXS,0,0.43,0.34,0.37
AEB,23.99,24.06,23.81,24.06
AEE,79.46,79.46,78.68,78.94
AEF,6.94,6.94,6.94,6.94
AEG,4.08,4.09,4.04,4.04
AEGN,0,20.01,20.01,20.01
AEH,25.98,26,25.94,26
AEHR,0,1.82,1.82,1.82
AEIS,0,55.9,55.44,55.6
AEL,23.01,23.15,22.77,22.96
AEM,53.7,54.52,53.7,54.02
AEMD,0,0.3,0.28,0.28
AEO,14.82,14.89,14.52,14.6
AEP,93.42,94.05,92.98,93.71
AEP PRB,54.75,55.18,54.75,54.83
AER,53.06,53.26,52.51,52.51
AERI,0,20.1,19.01,19.57
AES,16,16.05,15.85,15.85
AEYE,0,3.71,3.7,3.7
AEZS,0,0.99,0.98,0.98
AFB,13.75,13.76,13.7,13.7
AFC,27.01,27.15,26.99,27.09
AFG,103.96,103.99,103.06,103.06
AFGB,26.85,26.86,26.85,26.85
AFGE,25.25,25.35,25.25,25.3
AFGH,26.1,26.16,26.1,26.16
AFI,6.12,6.37,6.04,6.3
AFIN,0,14.22,14.07,14.1
AFINP,0,25.33,25.25,25.25
AFL,52.09,52.17,51.67,51.95
AFMD,0,2.9,2.8,2.82
AFT,14.59,14.61,14.55,14.57
AFYA,0,26.52,25.5,25.96
AG,9.6,9.71,9.44,9.52
AGBA,0,0,0,0
AGCO,72.84,72.84,71.28,72
AGD,9.46,9.5,9.43,9.5
AGE,1.65,1.65,1.64,1.65
AGEN,0,2.68,2.61,2.66
AGFS,0,2.16,2.16,2.16
AGG,113.6,113.67,113.52,113.52
AGGY,52.6,52.6,52.6,52.6
AGI,5.91,5.97,5.76,5.84
AGIO,0,33.98,33.65,33.9
AGLE,0,7.26,7.26,7.26
AGM,80.59,81.98,80.59,81.21
AGM A,73.33,73.33,71.14,71.14
AGM PRA,25.5,25.75,25.5,25.75
AGM PRC,26.68,26.68,26.68,26.68
AGM PRD,26.95,26.95,26.6,26.73
AGN,168.18,168.96,167.86,167.98
AGNC,0,16.13,15.94,16.02
AGNCM,0,0,0,0
AGNCN,0,0,0,0
AGNCO,0,25.15,25.12,25.12
AGO,43.95,44.47,43.95,44.14
AGO PRB,27,27.07,27,27.07
AGO PRE,26.1,26.1,25.98,25.98
AGO PRF,25.4,25.48,25.4,25.43
AGQ,30.86,30.86,30.83,30.85
AGR,51.32,51.32,50.92,50.98
AGRO,5.88,5.99,5.88,5.95
AGRX,0,1.2,1.12,1.17
AGS,10.41,10.77,10.26,10.55
AGTC,0,3.46,3.39,3.42
AGX,38.14,38.78,38.14,38.61
AGYS,0,26.97,25.99,26.92
AGZ,116.98,116.98,116.98,116.98
AHC,3.68,3.77,3.62,3.62
AHH,18.24,18.37,18.11,18.29
AHH PRA,27.45,27.45,27,27
AHL PRC,28.09,28.22,28.08,28.16
AHL PRD,25.94,25.98,25.92,25.97
AHL PRE,25.64,25.7,25.58,25.69
AHT,3.11,3.15,3.08,3.12
AHT PRD,24.61,24.62,24.59,24.59
AHT PRF,21.8,21.97,21.8,21.97
